overall_pick,year,team,player,college/former,position,height,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists,spg,bpg,fg%,3-fg%,ft%
1,2022,Atlanta Dream,Rhyne Howard,Kentucky,Guard,6'2,1,34,2.9,0.11,31.4,16.2,4.5,2.8,1.6,0.8,36.1%,34.3%,79.2%
2,2022,Indiana Fever,NaLyssa Smith,Baylor,Forward,6'4,1,32,0,-0.001,30.7,13.5,7.9,1.4,0.5,0.3,41.9%,38.1%,61.8%
3,2022,Washington Mystics,Shakira Austin,Ole Miss,Forward,6'5,1,36,3.1,0.16,21.6,8.7,6.5,0.9,0.8,0.8,54.7%,0%,62.4%
4,2022,Indiana Fever,Emily Engstler,Louisville,Forward,6'1,1,35,0.4,0.024,18.2,5.2,5.2,1.5,0.8,1.1,39.6%,35.6%,55.3%
5,2022,New York Liberty,Nyara Sabally,Oregon,Center,6'5,0,null,null,null,null,null,null,null,null,null,null,null,null
6,2022,Indiana Fever,Lexie Hull,Stanford,Guard,6'1,1,26,-0.4,-0.043,12.8,3.8,1.5,0.7,0.6,0.1,26.7%,18.6%,90%
7,2022,Dallas Wings,Veronica Burton,Northwestern,Guard,5'9,1,36,0.9,0.065,15.2,2.6,1.5,1.9,0.9,0.3,32.9%,27.9%,100%
8,2022,Minnesota Lynx,Mya Hollingshed,Colorado,Forward,6'3,0,null,null,null,null,null,null,null,null,null,null,null,null
9,2022,Los Angeles Sparks,Rae Burrell,Tennessee,Guard,6'2,1,3,-0.1,-0.111,14.7,1.7,1,0.3,0.7,0,11.1%,16.7%,100%
10,2022,Indiana Fever,Queen Egbo,Baylor,Center,6'4,1,33,0,0.003,21.8,7.2,6.3,0.9,0.9,1.2,44.2%,0%,64.5%
11,2022,Las Vegas Aces,Kierstan Bell,Florida Gulf Coast,Forward,6'1,1,21,-0.1,-0.024,5.8,1.3,0.9,0.3,0.1,0.1,30.3%,13.6%,100%
12,2022,Connecticut Sun,Nia Clouden,Michigan State,Guard,5'9,1,28,0.4,0.062,8.9,2.1,0.8,0.8,0.2,0,34%,41.4%,58.8%
13,2022,Minnesota Lynx,Khayla Pointer,LSU,null,null,1,10,-0.1,-0.092,5.8,2.2,0.8,0.2,null,null,null,null,null
14,2022,Washington Mystics,Christyn Williams,UConn,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
15,2022,Atlanta Dream,Naz Hillmon,Michigan,null,null,1,34,1.5,0.087,19.8,4.4,5.1,1.2,null,null,null,null,null
16,2022,Los Angeles Sparks,Kianna Smith,Louisville,null,null,1,11,-0.2,-0.054,10.3,2.6,0.8,0.5,null,null,null,null,null
17,2022,Seattle Storm,Elissa Cunane,NC State,null,null,1,3,0,0.012,3.3,0.7,1.7,0,null,null,null,null,null
18,2022,Seattle Storm,Lorela Cubaj,Georgia Tech,null,null,1,11,0,-0.013,8,0.7,2.1,0.4,null,null,null,null,null
19,2022,Los Angeles Sparks,Olivia Nelson-Ododa,UConn,null,null,1,30,0.5,0.044,14.5,4,2.9,0.4,null,null,null,null,null
20,2022,Indiana Fever,Destanni Henderson,South Carolina,null,null,1,36,-0.3,-0.018,16.4,5.3,1.6,2.5,null,null,null,null,null
21,2022,Seattle Storm,Evina Westbrook,UConn,null,null,1,20,0,0.009,10.3,2.8,1,1.2,null,null,null,null,null
22,2022,Minnesota Lynx,Kayla Jones,NC State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
23,2022,Las Vegas Aces,Aisha Sheppard,Virginia Tech,null,null,1,23,-0.2,-0.04,7.6,1.5,0.6,0.3,null,null,null,null,null
24,2022,Connecticut Sun,Jordan Lewis,Baylor,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
25,2022,Indiana Fever,Meshya Williams-Holliday,Jackson State University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
26,2022,Phoenix Mercury,Maya Dodson,Notre Dame,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
27,2022,Los Angeles Sparks,Amy Atwell,Hawaii,null,null,1,4,-0.2,-0.274,8,0.8,0.5,0.5,null,null,null,null,null
28,2022,Minnesota Lynx,Hannah Sjerven,South Dakota,null,null,1,3,0,-0.09,3,0,0,0,null,null,null,null,null
29,2022,New York Liberty,Sika Kon̩,Mali,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
30,2022,Dallas Wings,Jasmine Dickey,University of Delaware,null,null,1,20,-0.3,-0.143,4.7,1.1,0.6,0.1,null,null,null,null,null
31,2022,Dallas Wings,Jazz Bond,University of North Florida,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
32,2022,Phoenix Mercury,Macee Williams,IUPUI,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2022,Seattle Storm,Jade Melbourne,Australia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2022,Indiana Fever,Ali Patberg,Indiana,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2022,Las Vegas Aces,Faustine Aifuwa,LSU,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
36,2022,Connecticut Sun,Kiara Smith,Florida,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2021,Dallas Wings,Charli Collier,Texas,Forward,6'5,2,45,0.5,0.046,9.4,2.9,2.5,0.2,0.1,0.1,46%,0%,70.3%
2,2021,Dallas Wings,Awak Kuier,Finland,Forward,6'6,2,49,0.5,0.038,11.4,2.6,2.5,0.8,0.4,0.9,36.2%,18.2%,67.4%
3,2021,Atlanta Dream,Aari McDonald,Arizona,Guard,5'6,2,66,2.3,0.068,20.7,8.9,2,2.3,1.1,0.1,37.7%,32.5%,86.6%
4,2021,Indiana Fever,Kysre Gondrezick,West Virginia,Guard,5'9,1,19,-0.6,-0.129,9.1,1.9,1,0.9,0.4,0,28.3%,28.6%,50%
5,2021,Dallas Wings,Chelsea Dungee,Arkansas,Guard,5'10,1,14,-0.3,-0.159,4.6,0.6,0.2,0.1,0,0.1,17.6%,20%,0%
6,2021,New York Liberty,Michaela Onyenwere,UCLA,Forward,6'0,2,66,1.1,0.038,17.8,6.6,2.5,0.5,0.7,0.2,39.7%,31.9%,86.5%
7,2021,Los Angeles Sparks,Jasmine Walker,Alabama,Forward,6'3,2,34,-1,-0.134,8.9,1.5,1.4,0.2,0.2,0.1,23.5%,18.5%,60%
8,2021,Chicago Sky,Shyla Heal,Australia,Guard,5'6,1,4,-0.3,-0.41,7.8,2,0.8,0.8,0,0,12.5%,0%,100%
9,2021,Minnesota Lynx,Rennia Davis,Tennessee,Guard-Forward,6'1,1,8,-0.1,-0.134,5.4,1.3,1,0.1,0.3,0,38.5%,0%,0%
10,2021,Los Angeles Sparks,Stephanie Watts,UNC,Guard,5'11,1,6,-0.1,-0.061,14,2.5,3.7,0.5,0.5,0.3,21.1,10%,75%
11,2021,Seattle Storm,Aaliyah Wilson,Texas A&M,Guard,5'11,1,14,-0.5,-0.165,8.5,1.1,0.9,0.6,0.2,0.1,23.1,14.3%,50%
12,2021,Las Vegas Aces,Iliana Rupert,France,Center,6'4,1,17,0.5,0.096,13.1,3.8,2.3,0.9,0.4,0,46.3%,36.8%,33.3%
13,2021,Dallas Wings,Dana Evans,Louisville,null,null,2,62,0.7,0.045,9.7,3.8,0.6,1.1,null,null,null,null,null
14,2021,Las Vegas Aces,Destiny Slocum,Arkansas,null,null,2,24,0.1,0.018,7.3,1.5,1,0.7,null,null,null,null,null
15,2021,Atlanta Dream,Raquel Carrera Quintana,Spain,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
16,2021,Chicago Sky,Natasha Mack,Oklahoma State,null,null,1,4,0,0.065,4.5,1.5,1,0,null,null,null,null,null
17,2021,New York Liberty,DiDi Richards,Baylor,null,null,2,45,0.1,0.009,11.1,2.3,1.3,1,null,null,null,null,null
18,2021,Seattle Storm,Kiana Williams,Stanford,null,null,2,14,-0.1,-0.092,4.6,0.6,0.4,0.5,null,null,null,null,null
19,2021,Indiana Fever,Unique Thompson,Auburn,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
20,2021,Connecticut Sun,DiJonai Carrington,Baylor,null,null,2,60,1.3,0.059,14.2,5.2,2.6,0.8,null,null,null,null,null
21,2021,Connecticut Sun,Micaela Kelly,Central Michigan University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
22,2021,Los Angeles Sparks,Arella Guirantes,Rutgers University,null,null,1,25,-0.4,-0.051,11.6,3.2,1.3,0.6,null,null,null,null,null
23,2021,Seattle Storm,N'dea Jones,Texas A&M,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
24,2021,Indiana Fever,Trinity Baptiste,Arizona,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
25,2021,New York Liberty,Valerie Higgins,University of the Pacific,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
26,2021,Indiana Fever,Chelsey Perry,University of Tennessee at Martin,null,null,1,6,-0.1,-0.115,6.7,2.2,1,0.3,null,null,null,null,null
27,2021,Atlanta Dream,Lindsey Pulliam,Northwestern,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
28,2021,Los Angeles Sparks,Ivana Raca,Wake Forest,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
29,2021,New York Liberty,Marine Fauthoux,France,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
30,2021,Connecticut Sun,Aleah Goodman,Oregon State,null,null,1,1,0,0.206,3,0,0,1,null,null,null,null,null
31,2021,Indiana Fever,Florencia Chagas,Argentina,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
32,2021,Phoenix Mercury,Ciera Johnson,Texas A&M,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2021,Indiana Fever,Maya Caldwell,Georgia,null,null,1,9,0.7,0.138,23.8,10.9,2.4,2.2,null,null,null,null,null
34,2021,Los Angeles Sparks,Aina Ayuso,Spain,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2021,Seattle Storm,Natalie Kucowski,Lafayette College,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
36,2021,Las Vegas Aces,Kionna Jeter,Towson University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2020,New York Liberty,Sabrina Ionescu,Oregon,Guard,5'11,3,69,5.9,0.11,31,15,6.3,6.1,0.9,0.4,40.1%,33.2%,92.9%
2,2020,Dallas Wings,Satou Sabally,Oregon,Forward,6'4,3,44,2.4,0.086,25.3,12.5,6.3,2.5,0.5,0.7,39.5%,25.3%,84.7%
3,2020,Indiana Fever,Lauren Cox,Baylor,Forward,6'4,2,40,0.6,0.053,12.2,3,3.1,0.8,0.5,0.5,39.7%,31.6%,80%
4,2020,Atlanta Dream,Chennedy Carter,Texas A&M,Guard,5'9,3,51,0.9,0.035,21.2,12.7,1.9,2.7,0.7,0.4,45.8%,28.6%,80.3%
5,2020,Dallas Wings,Bella Alarie,Princeton,Center-Forward,6'4,2,53,1.4,0.076,13.5,2.6,3.1,0.5,0.6,0.7,43.1%,6.7%,84.4%
6,2020,Minnesota Lynx,Mikiah Herbert Harrigan,South Carolina,Forward,6'2,2,22,0.2,0.029,10.7,3.6,2.2,0.3,0.4,0.4,36.6%,42.4%,71.4%
7,2020,Dallas Wings,Tyasha Harris,South Carolina,Guard,5'10,3,88,1.6,0.044,16.9,5.2,1.2,2.7,0.5,0.2,38.8%,33.2%,76%
8,2020,Chicago Sky,Ruthy Hebard,Oregon,Forward,6'4,3,76,3.7,0.14,13.9,4.7,3.4,0.6,0.5,0.4,58.5%,0%,76.5%
9,2020,New York Liberty,Megan Walker,UConn,Forward,6'1,3,59,-1.2,-0.066,12.6,3.9,1.3,0.6,0.2,0.1,32.2%,24.1%,63.4%
10,2020,Phoenix Mercury,Jocelyn Willoughby,Virginia,Forward-Guard,6'0,2,33,-0.1,-0.006,15.3,4.8,2.2,0.7,0.6,0.3,36.6%,38.7%,81.7%
11,2020,Seattle Storm,Kitija Laksa,Latvia,Guard,6'1,0,null,null,null,null,null,null,null,null,null,null,null,null
12,2020,New York Liberty,Jazmine Jones,Louisville,Guard,6'0,3,55,-0.3,-0.015,16.8,6.9,2.7,1.4,0.8,0.3,37.8%,34.7%,76.3%
13,2020,New York Liberty,Kylee Shook,Louisville,null,null,2,50,0.4,0.02,17.1,5,3.5,1,null,null,null,null,null
14,2020,Indiana Fever,Kathleen Doyle,Iowa,null,null,1,18,-0.7,-0.189,8.6,1.5,0.8,1.1,null,null,null,null,null
15,2020,New York Liberty,Leaonna Odom,Duke,null,null,2,40,1.1,0.063,16.8,4.4,1.8,0.6,null,null,null,null,null
16,2020,Minnesota Lynx,Crystal Dangerfield,UConn,null,null,3,85,3.9,0.079,23.1,8.9,2,2.9,null,null,null,null,null
17,2020,Atlanta Dream,Brittany Brewer,Texas Tech,null,null,1,5,0.1,0.065,6.6,0.8,1,0,null,null,null,null,null
18,2020,Phoenix Mercury,Te'a Cooper,Baylor,null,null,2,51,0.3,0.012,20.1,8.2,1.5,1.6,null,null,null,null,null
19,2020,Seattle Storm,Joyner Holmes,Texas,null,null,3,50,-0.5,-0.044,8.5,2.4,1.8,0.6,null,null,null,null,null
20,2020,Los Angeles Sparks,Beatrice Mompremier,Miami (FL),null,null,3,74,1.2,0.074,8.6,2,2.8,0.2,null,null,null,null,null
